alpha,url
0.015,https://newt.carraracom.repl.co/
0.015,http://crediyande.temp.swtest.ru/postale/new%20scam%20postale/
0.015,http://www.blacksoftworld.com
0.015,https://www.cseindia.org
0.015,https://www.entorno-digital.com
0.015,http://www.kueronekayaeatn-co-jp.kueroaakayacoto.mibsyz.top/ai/
0.015,http://www.ie.n502.com
0.015,https://www.roads.org.uk
0.015,http://www.aackj7.cc
0.015,http://www.ws1.stati.bid
0.015,http://www.hermanni.ga
0.015,https://www.cookiesbybess.com
0.015,http://www.colis-dhl.com
0.015,https://www.arkkihiippakunta.fi
0.015,https://dev-wep-hacete-provi.pantheonsite.io/
0.015,https://www.mappa-mercia.org
0.015,https://www.paulfredrick.com
0.015,https://www.hopperapp.com
0.015,https://www.mediavine.com
0.015,https://aol-106853.weeblysite.com/
0.015,https://www.karolyi.org.hu
0.015,http://www.el-bayan.com
0.015,https://www.globalmetal.company
0.015,https://ollx.085121552.xyz/cebar6jw/gbdq1e/8
0.015,https://fleek.ipfs.io/ipfs/qmuccndk8chxx61zvbhofj6jg1st4k8fs6kptnswbixx61/mail.html
0.015,https://www.vivafifty.com
0.015,http://www.eshharart.net
0.015,https://www.giantitp.com
0.015,https://cloudflare-ipfs.com/ipfs/qmwcmh6jufeqixel8tpbtsv5qbjwhamqhpwawu3gndubfu/
0.015,https://www.secondstate.io
0.015,http://www.f4eb71ec6688bb06773134031ece947a51.ws
0.015,https://ascc-c009f.web.app/
0.015,https://www.polnes.ac.id
0.015,https://www.leukmetkids.nl
0.015,https://redundantnumbdatabase.yaahoosegurif.repl.co
0.015,https://www.chicagogallerynews.com
0.015,https://www.scaffeye.de
0.015,https://www.zttaat.com
0.015,http://trusted-victorious-flax.glitch.me/
0.015,https://www.indianz.com
0.015,https://www.dba.dk
0.015,https://www.homeplace.in
0.015,https://www.hampton.gov
0.015,http://www.world-store.de
0.015,https://www.bestsize.com.br
0.015,http://www.automobile.200gigs.com
0.015,https://www.dependencytrack.org
0.015,http://www.nangngucsiam.com
0.015,https://e-mail-service-update.weeblysite.com/
0.015,https://attyah00-105122.square.site/
0.015,https://www.iwate-u.ac.jp
0.015,http://www.sticker.fburl.fun
0.015,http://ce56523.tw1.ru/e-t-sfr.sms/confirmation.html
0.015,https://testgali.google0010.repl.co/
0.015,https://aol-mail-106345.weeblysite.com/
0.015,https://www.kuer.org
0.015,https://www.merchantvilleschool.org
0.015,http://www.sheypor-ir.ga
0.015,http://www.news-alert.org
0.015,http://www.cashyinvestment.org
0.015,https://jposdnu.com/
0.015,https://www.shardanandshastri.com
0.015,https://thedoughhook.tk/wp-content/sa/home
0.015,https://www.adventisthealth.org
0.015,https://bit.ly/3igmcab
0.015,https://www.zophar.net
